sent_id,tb,text
ins_922,v2.8,
news_775,v2.8,
news_775,v2.11,
pop_93,v2.8,
pop_1447,v2.11,
bio_1730,v2.8,
bio_1730,v2.11,
ins_1378,v2.11,
ins_1049,v2.8,
ess_316,v2.8,
ins_1661,v2.8,
bio_1319,v2.8,
bio_1319,v2.11,
pop_1154,v2.11,
bio_788,v2.8,
bio_482,v2.8,
ess_168,v2.8,
ess_168,v2.11,
bio_1401,v2.8,
bio_902,v2.8,
bio_531,v2.11,
ess_36,v2.8,
ess_36,v2.11,
ess_1244,v2.8,
ins_199,v2.11,
ins_1051,v2.8,
ins_1051,v2.11,
pop_315,v2.8,
pop_315,v2.11,
bio_1210,v2.11,
ess_1248,v2.8,
ess_1248,v2.11,
ess_1197,v2.11,
bio_1762,v2.11,
pop_1600,v2.8,
ins_793,v2.8,
ins_793,v2.11,
news_564,v2.8,
news_564,v2.11,
bio_145,v2.11,
bio_1103,v2.8,
bio_1103,v2.11,
bio_1705,v2.11,
